LSOA,LA CODE,LA NAME,GOR CODE,GOR NAME,2004IMD SCORE,2004RANK OF IMD (where 1 is most deprived),2004INCOME SCORE,2004RANK OF INCOME SCORE (where 1 is most deprived),2004EMPLOYMENT SCORE,2004RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2004HEALTH DEPRIVATION AND DISABILITY SCORE,2004RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2004EDUCATION SKILLS AND TRAINING SCORE,2004RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2004BARRIERS TO HOUSING AND SERVICES SCORE,2004RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2004CRIME AND DISORDER SCORE,2004RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2004LIVING ENVIRONMENT SCORE,2004RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2007IMD SCORE,2007RANK OF IMD (where 1 is most deprived),2007INCOME SCORE,2007RANK OF INCOME SCORE (where 1 is most deprived),2007EMPLOYMENT SCORE,2007RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2007HEALTH DEPRIVATION AND DISABILITY SCORE,2007RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2007EDUCATION SKILLS AND TRAINING SCORE,2007RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2007BARRIERS TO HOUSING AND SERVICES SCORE,2007RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2007CRIME AND DISORDER SCORE,2007RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2007LIVING ENVIRONMENT SCORE,2007RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2010imd_score,2010imd_rank,2010income_score,2010income_rank,2010employ_score,2010employ_rank,2010healthdd_score,2010healthdd_rank,2010edust_score,2010edust_rank,2010housesb_score,2010housesb_rank,2010crimed_score,2010crimed_rank,2010environl_score,2010environl_rank
E01000001,00AA,City of London,H,London,6.52,28325,0.01,32241,0.02,31859,-1.55,31317,4.18,28215,28.41,8318,-2.07,32371,32.41,7682,5.83,29006,0.01,32389,0.02,32371,-2.09,32233,2.3,30298,26.02,10282,-2.42,32436,33.97,7106,6.16,28814,0.01,32460,0.01,32435,-2.11,32332,0.21,32421,32.6,5491,-1.64,31816,26.28,10212
E01000002,00AA,City of London,H,London,5.14,29941,0.01,32161,0.02,32211,-1.23,29798,3.98,28452,25.74,10599,-2.14,32393,22.65,12324,3.63,31243,0.01,32410,0.02,32388,-2.36,32386,2.42,30171,24.08,12040,-2.67,32462,14.93,17601,5.59,29450,0.01,32457,0.01,32452,-2.78,32472,0.26,32392,30.26,6980,-1.93,32269,25.73,10483
E01000003,00AA,City of London,H,London,17.39,15923,0.09,17414,0.08,18140,-0.11,17633,5.73,26351,36.8,3359,-2.15,32397,42.24,4355,14.38,18799,0.09,19625,0.08,17867,-0.31,20354,6.75,25004,33.36,5013,-1.36,30892,28.31,9350,13.29,20047,0.07,22562,0.05,26026,-0.97,28188,7.16,24611,40.32,2211,-1.21,30147,36.48,6088
E01000004,00AA,City of London,H,London,15.77,17376,0.06,22362,0.06,20963,-0.33,20663,6.01,26003,37.81,2964,-1.77,32058,46.61,3263,14.31,18874,0.07,23000,0.07,19237,-0.57,23642,2.82,29677,33.51,4927,-2.03,32315,47.51,3159,11.17,22503,0.04,30002,0.04,28814,-1.04,28814,1.76,30899,37.92,3012,-1.32,30744,46.72,3257
E01000005,00AA,City of London,H,London,31.76,7419,0.28,4365,0.16,6117,0.52,9124,24.77,10619,31.13,6406,-1.03,28870,28.48,9412,30.05,8162,0.32,3772,0.12,9524,0.65,7710,19.01,14017,26.53,9882,-1.33,30769,39.08,5378,21.36,12978,0.16,11341,0.07,19427,0.07,14900,20.24,13235,34.66,4407,-1.02,28792,40.94,4730
E01000006,00AB,Barking and Dagenham,H,London,18.51,14985,0.07,19857,0.06,21545,-0.28,19994,16.38,16021,33.99,4688,0.93,4498,24.95,11145,20.66,13367,0.15,12586,0.07,18856,-0.09,17263,13,18749,31.28,6280,0.86,5084,24.83,11014,17.08,16410,0.12,14996,0.06,20979,-0.38,21343,13.84,18084,32.81,5374,0.42,10184,19.39,14273
E01000007,00AB,Barking and Dagenham,H,London,45.44,3191,0.37,1839,0.18,4751,0.79,6317,38.28,5564,34.19,4589,0.98,4060,37.07,5929,40.78,4452,0.31,3961,0.12,9381,0.57,8662,52.75,2757,32.56,5459,1.08,3267,45.47,3641,37.24,5438,0.27,5053,0.1,12409,0.63,7668,29.22,8668,34.52,4492,1.23,2026,49.82,2591
E01000008,00AB,Barking and Dagenham,H,London,42.06,4001,0.36,1940,0.16,6434,0.81,6054,32.29,7406,34.16,4608,0.86,5160,32.53,7639,45.21,3291,0.41,1646,0.15,6564,0.68,7469,36.05,6322,31.89,5881,1.25,2163,46.05,3502,45.22,3172,0.4,1145,0.14,7055,0.55,8596,29.85,8403,34.25,4612,0.95,4074,51.89,2177
E01000009,00AB,Barking and Dagenham,H,London,29.38,8402,0.19,8199,0.12,10313,0.51,9278,17.11,15423,29.62,7418,1.15,2812,28.3,9506,30.73,7892,0.25,6612,0.11,10797,0.45,10006,19.22,13873,29.28,7669,1.1,3124,34.96,6743,29.41,8462,0.2,8499,0.11,11184,0.34,11092,20.75,12902,30.6,6758,1.06,3148,33.99,6960
E01000010,00AB,Barking and Dagenham,H,London,46.37,2988,0.34,2365,0.16,5809,0.86,5641,32.1,7487,32.53,5569,1.93,285,36.67,6085,46.82,2913,0.37,2478,0.17,4868,0.77,6527,30.26,8227,29.59,7481,1.89,312,46.81,3331,38.45,5038,0.32,3207,0.12,9636,0.41,10229,22.72,11775,30.68,6705,1.5,968,43.65,4003
E01000011,00AB,Barking and Dagenham,H,London,30.05,8111,0.25,5435,0.12,9505,0.48,9621,18.2,14634,29.47,7530,0.55,8698,32.7,7577,31.74,7492,0.32,3879,0.11,10933,0.42,10438,18.7,14229,28.8,8013,0.54,8559,42.03,4503,29.48,8421,0.23,6609,0.1,12377,0.25,12473,22.05,12161,29.6,7483,0.72,6323,43.57,4026
E01000012,00AB,Barking and Dagenham,H,London,28.24,8939,0.21,7226,0.1,13520,0.4,10678,18.67,14305,33.96,4708,0.69,6942,34.3,6941,37.41,5428,0.34,3174,0.12,9820,0.2,13322,24.84,10607,33.68,4836,1.03,3651,52.2,2183,37.34,5400,0.33,2859,0.1,12485,0.12,14223,17.9,14842,36.6,3520,1.12,2766,57,1435
E01000013,00AB,Barking and Dagenham,H,London,37.59,5364,0.2,7761,0.15,7192,0.83,5914,60.51,1758,28.01,8655,0.74,6431,34.01,7066,41.32,4324,0.26,5916,0.16,5782,0.8,6199,56.44,2245,25.21,11006,1.13,2893,43.25,4142,39.8,4626,0.28,4537,0.13,7874,0.6,7973,50.48,3112,26.33,10186,1.23,2020,38.93,5334
E01000014,00AB,Barking and Dagenham,H,London,34.82,6288,0.22,6906,0.17,5191,0.71,7132,49.64,3211,31.39,6242,-0.15,18220,20.91,13357,36.88,5603,0.28,5307,0.16,5329,0.79,6319,46.15,3898,27.9,8725,0.07,15210,34.97,6740,37.83,5235,0.28,4482,0.15,6273,0.37,10763,51.64,2928,29.47,7584,0.53,8694,37.14,5878
E01000015,00AB,Barking and Dagenham,H,London,32.88,7007,0.2,7573,0.13,9263,0.74,6747,49.99,3166,31.78,6000,0.34,11400,21.8,12840,37.23,5481,0.31,4284,0.15,6371,0.6,8270,55.94,2316,27.11,9378,0.45,9721,22.64,12184,38.81,4926,0.34,2631,0.14,7467,0.4,10342,45.71,3988,29.09,7869,1.1,2895,17.86,15443
